Q1_i,Q1_ii,Q1_iii,Q1_iv,Q1_i_score,Q1_ii_score,Q1_iii_score,Q1_iv_score,Total_Q1,Q2_i,Q2_ii,Q2_i_score,Q2_ii_score,Total_Q2,Q3_i,Q3_ii,Q3_i_score,Q3_ii_score,Total_Q3,Q4,Q4_score,Total_Q4,Q5_i,Q5_ii,Q5_iii,Q5_i_score,Q5_ii_score,Q5_iii_score,Total_Q5,Q6_i,Q6_ii,Q6_i_score,Q6_ii_score,Total_Q6,Q7,Q7_score,Total_Q7,Total_score,Percentage,RLD_level
වැස්ස වහිනවා,කූඩු වලට යනවා,දන්නෙ නෑ,රෙදි,1,1,0,1,3,සහන්,දන්නෙ නෑ,0,0,0,දන්නෙ නෑ,දන්නෙ නෑ,0,0,0,අටක්,1,1,ගස,ළිඳ,මල් පාත්තිය,1,1,1,3,දන්නෙ නෑ,සපත්තු,0,1,1,දන්නෙ නෑ,0,0,8,53.33,Average
වැස්ස,කූඩුවට,කලබලෙන්,රෙදි,1,1,1,1,4,දන්නෙ නෑ,දන්නෙ නෑ,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ඉගෙන ගෙන යහපත් පුරවැසියා වෙමු,1,1,2,අටක්,1,1,ගහක්,මල්,ළිඳ,1,0,0,1,අන්නාසි,සපත්තුව,1,1,2,සිකුරාදා,0,0,10,66.67,Average
වැස්ස,කූඩු වලට,දන්නෙ නෑ,වනා තිබුන රෙදි,1,1,0,1,3,කසුන්,දන්නෙ නෑ,1,0,1,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන්වෙමු,1,1,2,දන්නෙ නෑ,0,0,ගස,දන්නෙ නෑ,ළිඳ,1,0,0,1,කැරට්,සපත්තු,0,1,1,සඳුදා,1,1,9,60.0,Average
වැසි අවස්ථාවක්,කූඩුවට,කලබලයෙන්,දර ටික,1,1,1,0,3,සහන්,පවනි,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොදින් ඉගෙන ගෙන යහපත් පුරවැසියෙක් වෙමු,1,1,2,අටයි,1,1,ගස,ළිඳ,මල් පාත්තිය,1,1,1,3,අන්නාසි,කලිසම,1,0,1,සඳුදා,1,1,11,73.33,Normal
වැස්ස,කූඩු වලට,කලබලයෙන්,රෙදි,1,1,1,1,4,කසුන්,පවනි,1,0,1,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන යහපත් පුරවැසියෙක් වෙමු,1,1,2,අටයි,1,1,ගස,ළිඳ,මල් පාත්තිය,1,1,1,3,අන්නාසි,සපත්තු 2,1,1,2,දන්නෙ නෑ,0,0,13,86.67,Normal
වැස්ස ගැන,කැදලි කරා,දුවගෙන,රෙදි,1,1,1,1,4,කසුන්,පසිඳු,1,0,1,අම්මා රූපවාහිනිය බලනවා,පුරවැසියන් ඉගෙන ගෙන යහපත් හොඳින් වෙමු,1,0,1,අටයි,1,1,ගස,දන්නෙ නෑ,මල් පාත්තිය,1,0,1,2,අන්නාසි,සපත්තු 2,1,1,2,සඳුදා,1,1,12,80.0,Normal
වැස්ස ගැන,කූඩු වලට,කලබලයෙන්,රෙදි,1,1,1,1,4,කසුන්,පහන්,1,0,1,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියෙක් වෙමු,1,1,2,අටයි,1,1,ගස,ගේට්ටුව,මල් පාත්තිය,1,0,1,2,අන්නාසි,සපත්තු,1,1,2,සඳුදා,1,1,13,86.67,Normal
වැස්ස ගැන,කූඩු වලට,වේගයෙන්,රෙදි,1,1,1,1,4,සහන්,පවනි,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියෙක් වෙමු,1,1,2,අටක්,1,1,ගස,මල් පාත්තිය,පාත්තිය,1,0,1,2,අන්නාසි,සැපත්තු 2,1,1,2,සඳුදා,1,1,12,80.0,Normal
වැස්ස ගැන,දන්නෙ නෑ,කලබලයෙන්,රෙදි,1,0,1,1,3,කසුන්,සවනි,1,0,1,අම්මා රූපවාහිනිය බලනවා,හොඳින් යහපත් පුරවැසියෝ ඉගෙන ගෙනවෙමු,1,1,2,අටයි,1,1,ගස,මල් පාත්තිය,ළිඳ,1,0,0,1,අන්නාසි,සපත්තු,1,1,2,සඳුදා,1,1,11,73.33,Normal
වැස්ස ගැන,කැදිලි කරා,කලබලයෙන්,රෙදි,1,1,1,1,4,සහන්,කසුන්,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියෙක් වෙමු,1,0,1,අටයි,1,1,ගස,මල් පඳුර,ළිඳක්,1,0,0,1,අන්නාසි,සපත්තුව,1,1,2,සඳුදා,1,1,10,66.67,Average
