L1Q1,L1Q2,L1Q3,L1Q4,L1Q5,L1Q6,Total Marks,Shape 1,shape 2,shape 3,shape 4,Marks(Level 2),Level 3 Question,Marks (Level 3),Marks For Time,Total,Time,Target
3,3,3,3,3,1,12,4,2,6,4,9,"3, 4, 5, 6, 7, 8",18,2,41,87,2
3,3,4,3,1,2,9,4,6,6,4,12,"1, 4, 5, 6, 7, 8",12,2,35,98,1
3,3,2,3,2,1,18,4,6,6,3,9,"3, 4, 5, 8",12,2,41,89,2
3,3,2,3,2,1,18,3,5,5,4,3,"3, 4, 5, 6, 7, 8",18,2,41,94,2
3,3,3,3,2,3,12,4,5,6,4,9,"3, 4, 5, 6, 7, 8",18,2,41,100,2
3,3,3,3,4,1,12,4,6,5,4,9,"3, 4, 5, 6, 7, 8",18,2,41,103,2
3,3,3,3,2,1,15,4,6,5,3,6,"3, 4, 5, 6, 7, 8",18,2,41,84,2
3,3,3,3,2,4,12,4,5,6,3,6,"3, 4, 5, 6, 7, 8",18,2,38,94,1
3,3,3,3,3,1,12,4,6,6,3,9,"3, 4, 5, 6, 7, 8, 10",15,2,38,99,1
3,3,2,3,2,1,18,4,6,6,4,12,"7, 8",6,2,38,105,1
3,3,2,4,1,1,12,4,6,6,4,12,"3, 4, 5, 6, 8, 9, 10",9,2,35,100,1
1,3,2,4,2,1,12,4,6,6,4,12,"3, 4, 7, 8, 10",9,2,35,130,1
2,3,3,1,2,1,9,4,6,6,4,12,"3, 4, 5, 10",6,2,29,140,1
3,3,3,1,2,1,12,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,2,44,150,2
2,3,3,4,1,1,6,4,6,6,4,12,"3, 4, 5, 6, 7, 8, 9, 10",12,0,30,163,1
3,3,3,3,2,2,12,4,6,4,6,6,"1, 2, 3, 5, 6, 7, 8, 9, 10",3,0,21,188,1
3,3,2,3,3,2,12,4,6,6,4,12,"4, 6, 7, 8, 9",9,0,33,210,1
3,3,2,3,2,1,18,4,6,6,4,12,"1, 2, 3, 6, 7, 9, 10",0,0,30,156,1
4,2,4,2,2,2,3,4,5,5,4,6,"1, 2, 3, 4, 5, 7, 8, 9, 10",3,2,14,150,1
3,3,3,3,3,1,12,4,6,5,4,9,"1, 2, 3, 4, 5, 7, 8, 10",6,0,27,175,1
3,3,2,1,2,1,15,4,6,6,4,12,"3, 4, 6, 7, 8, 9",12,0,39,185,1
3,4,1,1,3,4,3,4,5,6,4,9,"1, 2, 3, 5, 6, 7, 8, 9, 10",3,0,15,235,1
4,3,4,4,2,1,9,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,0,39,235,1
3,3,4,3,3,3,9,4,6,6,4,12,"3, 6",6,0,27,225,1
3,1,2,4,1,3,6,2,6,6,4,9,"1, 2, 3, 5, 7, 8, 9, 10",0,0,15,190,1
3,3,2,4,2,1,15,4,6,6,4,12,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10",0,0,27,200,1
3,3,4,3,2,1,15,4,6,6,4,12,"3, 4, 5, 6, 8",12,0,39,175,1
3,3,2,3,2,1,18,4,6,6,4,12,"1, 3, 4, 6, 7, 9, 10",3,2,35,150,1
3,3,2,1,2,3,12,4,6,6,4,12,"3, 5, 7, 8",12,2,38,115,1
2,1,2,4,2,1,9,4,6,6,2,9,"1, 2, 4, 5, 7, 8, 9",3,0,21,175,1
1,2,4,3,2,1,9,4,6,6,4,12,"3, 7, 8",9,0,30,165,1
3,3,2,3,2,1,18,4,6,6,4,12,"4, 7, 10",6,2,38,140,1
